ID da fila,ID da compra,Data da compra,Data de envio,Modo de envio,ID do cliente,Nome do cliente,Segmento,Cidade,Estado,Região Brasileira,País,Região,ID do produto,Categoria,Sub-categoria,Nome do produto,Quantidade,Valor_Vendas,Valor_Desconto,Valor_Lucro
1,MX-2018-143658,10/2/2018,10/6/2018,Classe padrão,SR-20575,Sofia Rocha,Varejo,Cidade do México,Distrito Federal,,México,Norte,MAT-ET-10001014,Material de escritório,Etiquetas,"HON Etiquetas para organização de pastas, Ajustável",3,"130,8",0,"45,6"
4,MX-2016-155047,10/16/2016,10/21/2016,Classe padrão,LC-16570,Larissa Cardoso,Varejo,Dos Quebradas,Risaralda,,Colômbia,Sul,MAT-FI-10003284,Material de escritório,Fichários,"Cardinal Pasta argolada, Transparente",4,"354,4",0,"49,6"
5,MX-2016-155047,10/16/2016,10/21/2016,Classe padrão,LC-16570,Larissa Cardoso,Varejo,Dos Quebradas,Risaralda,,Colômbia,Sul,MAT-AR-10002762,Material de escritório,Arte,"Sanford Tela, Tamanhos variados",2,716,0,"114,4"
6,MX-2016-155047,10/16/2016,10/21/2016,Classe padrão,LC-16570,Larissa Cardoso,Varejo,Dos Quebradas,Risaralda,,Colômbia,Sul,MAT-EN-10000610,Material de escritório,Envelopes,"GlobeWeis Com lacre, Vermelho",2,"561,2",0,"213,2"
7,MX-2017-134096,9/28/2017,10/2/2017,Classe padrão,DG-13000,Diogo Goncalves,Varejo,São Paulo,São Paulo,Sudeste,Brasil,Sul,MAT-EN-10000610,Material de escritório,Envelopes,"GlobeWeis Com lacre, Vermelho",2,"561,2",0,"213,2"
9,MX-2017-134096,9/28/2017,10/2/2017,Classe padrão,DG-13000,Diogo Goncalves,Varejo,São Paulo,São Paulo,Sudeste,Brasil,Sul,MAT-MA-10001660,Material de escritório,Materiais,"Elite Estilete, Industrial",4,"973,6",0,"194,4"
11,MX-2017-134096,9/28/2017,10/2/2017,Classe padrão,DG-13000,Diogo Goncalves,Varejo,São Paulo,São Paulo,Sudeste,Brasil,Sul,MAT-FI-10001314,Material de escritório,Fichários,"Wilson Jones Reforço para fichário, Durável",3,"120,6",0,"34,8"
12,MX-2017-156335,3/6/2017,3/13/2017,Classe padrão,VC-21250,Vinícius Cardoso,Varejo,Managua,Managua,,Nicarágua,Central,MAT-CO-10002112,Material de escritório,Colchetes,"Accos Grampos, Embalagem com 12",3,"207,6",0,"95,4"
14,MX-2018-121923,9/24/2018,10/1/2018,Classe padrão,MC-18910,Melissa Cunha,Pequenas e Medias Empresas,Managua,Managua,,Nicarágua,Central,MAT-EN-10001401,Material de escritório,Envelopes,"Kraft Com lacre, Prata",3,801,0,"376,2"
15,MX-2018-135706,10/18/2018,10/23/2018,Classe padrão,JA-15625,Júlia Almeida,Varejo,Brasília,Distrito Federal,Centro-Oeste,Brasil,Sul,MAT-AR-10002737,Material de escritório,Arte,"Stanley Tela, Embalagem tipo bulk",4,"1326,4",0,"357,6"
16,MX-2018-135706,10/18/2018,10/23/2018,Classe padrão,JA-15625,Júlia Almeida,Varejo,Brasília,Distrito Federal,Centro-Oeste,Brasil,Sul,MAT-CO-10002418,Material de escritório,Colchetes,"Advantus Prendedores de papel, Metal",1,"129,4",0,"10,2"
17,US-2017-126655,6/27/2017,7/2/2017,Classe padrão,GO-14800,Giovanna Oliveira,Grande Empresa,San Miguelito,Panamá,,Panamá,Central,MAT-EN-10001346,Material de escritório,Envelopes,"Jiffy Fita dupla face, Vermelho",2,"188,4","0,4",-66
19,US-2017-126655,6/27/2017,7/2/2017,Classe padrão,GO-14800,Giovanna Oliveira,Grande Empresa,San Miguelito,Panamá,,Panamá,Central,MAT-EN-10004794,Material de escritório,Envelopes,"GlobeWeis Malote, Prata",2,"401,76","0,4","-60,64"
20,US-2017-126655,6/27/2017,7/2/2017,Classe padrão,GO-14800,Giovanna Oliveira,Grande Empresa,San Miguelito,Panamá,,Panamá,Central,MAT-EN-10003820,Material de escritório,Envelopes,"Jiffy Envelope com fecho, Reciclado",3,"87,84","0,4","-48,36"
23,MX-2017-163139,10/30/2017,11/3/2017,Segunda classe,VF-21055,Victor Ferreira,Varejo,Santiago,Santiago,,Chile,Sul,MAT-MA-10000059,Material de escritório,Materiais,"Acme Estilete, Retangular",9,2070,0,"662,4"
